X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
139.0,139.0,train,0.0021323029457424513,49.21299663745771,0.8169768036139219
140.0,140.0,train,0.001024742951912157,32.601513026500434,0.5578446123442576
141.0,141.0,train,0.002117057970039647,49.0144339016743,0.814741188164521
142.0,142.0,train,9.498183076300294E-4,30.943940994574902,0.5306585553959475
143.0,143.0,train,0.0022771836856962185,51.19840329683058,0.836921531107735
144.0,144.0,train,4.164957012082631E-4,23.021468085756066,0.2822920514231748
145.0,145.0,train,9.999063240136407E-5,10.80269028998535,0.07654335683897906
146.0,146.0,train,3.373991452788745E-4,21.182372450178956,0.2356281786846759
147.0,147.0,train,1.6753327057541704E-5,1.946736919911254,0.01325355141995177
148.0,148.0,train,1.702430358606411E-4,15.00866298455151,0.1267904019088848
149.0,149.0,train,0.0015976164016224567,41.00439558253378,0.7198202602632284
150.0,150.0,train,0.001311874568920986,36.602882975151644,0.6482245851163022
151.0,151.0,train,0.0013567284695961274,37.29965991635554,0.6605686226948837
152.0,152.0,train,0.0011247822820624027,34.59375111770226,0.5917045049241747
153.0,153.0,train,3.877831651004353E-5,4.906717601218675,0.030410623663104652
154.0,154.0,train,0.0010236835318868322,32.53907016014603,0.5574714038544839
155.0,155.0,train,6.644919190691397E-6,0.7265807594704128,0.005277962177822615
156.0,156.0,train,1.4843195294104962E-5,1.68217038470398,0.011751362827379652
