X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.0014531849784593905,38.534978082741766,0.6856663800612084
2.0,2.0,train,0.002768510401907103,58.049125662135225,0.8897286274755684
3.0,3.0,train,0.003957233953112227,69.13770078302778,0.9572119815714885
4.0,4.0,train,9.304531111496145E-4,30.363781990691194,0.5233641616118545
5.0,5.0,train,0.004368862245783217,73.78310252114338,0.9691714280499251
6.0,6.0,train,0.0020388725389103605,47.33692778720832,0.8028391606387493
7.0,7.0,train,0.003884092043711754,67.57552174323173,0.9546455850678286
8.0,8.0,train,0.0017401804610751791,44.61477918865752,0.7498914830036907
9.0,9.0,train,0.0013326548052495723,36.9411963601228,0.6539982625030627
10.0,10.0,train,0.0017627953028336414,44.88414077483953,0.7543556684785153
11.0,11.0,train,0.001763646701990573,45.05987709612054,0.7545221698935001
12.0,12.0,train,0.0014978948267650057,39.12823562676808,0.6966617622101566
13.0,13.0,train,0.0020388725389103605,47.33692778720832,0.8028391606387493
14.0,14.0,train,0.002067554590600667,47.95599763332876,0.8072916758867466
15.0,15.0,train,0.002489600759422626,54.08506162657879,0.8623017232036707
16.0,16.0,train,0.002394212454879127,52.371331688569335,0.8514337365068108
17.0,17.0,train,0.0024465518098991438,53.34034639950123,0.8574990599352312
18.0,18.0,train,0.0023413073415045867,51.89652972191939,0.845040448920138
19.0,19.0,train,0.0010474016831657509,33.330389195943816,0.5657518198919895
20.0,20.0,train,6.119108248009206E-4,25.926444180778407,0.38572894038221006
21.0,21.0,train,7.999894831206E-4,27.776033837485265,0.4711776559977129
22.0,22.0,train,0.001259157003397659,35.96798273929674,0.6331413479421144
23.0,23.0,train,0.0010100556202972334,32.12009378929776,0.5526424317493126
24.0,24.0,train,9.248971030041673E-4,30.2626432750349,0.5212504976824179
25.0,25.0,train,0.003375112660606178,63.543290938850134,0.931976512453722
26.0,26.0,train,0.0035877529291702347,65.3195333283415,0.9425733372684777
27.0,27.0,train,7.975549406013286E-4,27.724386954479918,0.47015135810694797
28.0,28.0,train,0.0035410365132805886,64.24539585103133,0.9403965691132129
29.0,29.0,train,0.004233500760735631,72.05070845300888,0.9656623539895122
30.0,30.0,train,0.004439042668795495,77.31339278906535,0.9708471985899033
31.0,31.0,train,0.002825659390697153,58.60886704750727,0.8946348927183392
32.0,32.0,train,0.0010003671392327135,31.97888453699221,0.5491773601036115
33.0,33.0,train,0.002825659390697153,58.60886704750727,0.8946348927183392
34.0,34.0,train,0.006506075860615287,92.99800874581177,0.9943796792208925
35.0,35.0,train,0.003095593486257943,60.96322477960732,0.915016338882449
36.0,36.0,train,0.008677557673843808,97.34442501000589,0.9990029508899189
37.0,37.0,train,0.006337696640039319,91.69781387230726,0.9935731528660406
38.0,38.0,train,0.003799543911693713,67.18676449869658,0.9514865675502617
39.0,39.0,train,0.003095593486257943,60.96322477960732,0.915016338882449
40.0,40.0,train,0.00497677265591853,81.61042768445033,0.9810024727985012
41.0,41.0,train,0.005418690069533688,85.79425815953476,0.986638589959132
42.0,42.0,train,0.0017883823661125483,45.32217998528128,0.7593105700632721
43.0,43.0,train,0.002905929993697788,59.46666052928248,0.9011597496156718
44.0,44.0,train,0.0038874299985523697,68.35252450101187,0.9547659910603984
45.0,45.0,train,0.0030156098004261674,60.65353518692791,0.9094269112995349
46.0,46.0,train,0.0016031965558901515,41.133569043273674,0.7210626088984267
47.0,47.0,train,0.0019576009662950135,46.713802666280536,0.7896561407366745
48.0,48.0,train,0.003741924607112987,66.42946119914957,0.9492085470510674
49.0,49.0,train,0.0021625619023182894,49.85937197060223,0.8213345604568985
50.0,50.0,train,0.005126326281313815,83.1432773318429,0.9831355816800296
51.0,51.0,train,0.0016306838592964872,41.65104007471533,0.7271023629768751
52.0,52.0,train,0.0026615730493334904,56.41318985412346,0.8799260179081434
53.0,53.0,train,0.005692191381123353,88.02289777873452,0.9892537452520402
54.0,54.0,train,0.003226964769793806,62.21891434946002,0.9234582468249808
55.0,55.0,train,0.0020047186073627824,46.92911249417378,0.7974028244396751
56.0,56.0,train,0.0023524541518353064,52.13186284558186,0.846409967478177
57.0,57.0,train,0.0024208431358038454,53.09570559816559,0.854551408801506
58.0,58.0,train,0.0010394934494499953,33.01695232829883,0.5630082816793534
59.0,59.0,train,0.0026573363762408993,56.146940347204364,0.8795201993244766
60.0,60.0,train,0.0035765878020853044,64.60305284538428,0.9420604349060004
61.0,61.0,train,0.0035765878020853044,64.60305284538428,0.9420604349060004
62.0,62.0,train,0.004439042668795495,77.31339278906535,0.9708471985899033
63.0,63.0,train,0.0042188624339540475,71.20449998102352,0.9652597101405348
64.0,64.0,train,0.0012261315318896678,35.58495373044854,0.6233645482154349
65.0,65.0,train,0.0027720969507203453,58.32606886620806,0.8900431448431492
66.0,66.0,train,1.4348753271640325E-4,13.83632641409972,0.10798459559075302
67.0,67.0,train,0.0033634452746646956,63.205752391443234,0.9313415078154316
68.0,68.0,train,0.005588616167970797,87.45358494777476,0.9883297432436702
69.0,69.0,train,1.4681318394294028E-4,14.01030547366357,0.11034398300677606
70.0,70.0,train,3.0849375903158164E-4,20.23805641835278,0.2178283041268334
71.0,71.0,train,0.0010230470006027971,32.50165784657684,0.5572470175383084
72.0,72.0,train,4.32999449111917E-4,23.529941631229928,0.29166345418016615
73.0,73.0,train,2.8092084488859066E-4,19.33767430085974,0.2004628170893843
74.0,74.0,train,1.2711075948597917E-4,12.80502211332916,0.09627448339090128
75.0,75.0,train,0.0037738539048698125,66.80684989091677,0.9504837968009849
76.0,76.0,train,4.973604991918216E-5,6.182708747609872,0.038835047127317224
77.0,77.0,train,0.005189927068348685,83.66243191695517,0.9839685083281109
78.0,78.0,train,0.0044134452047021105,75.09804011142613,0.9702468042175951
