Predictor variable,Categorical,Sample average
bio02,false,127.51923076923077
bio03,false,71.88461538461539
bio08,false,253.73076923076923
bio09,false,234.55769230769232
bio13,false,330.1666666666667
bio14,false,8.217948717948717
bio15,false,99.07051282051282
bio18,false,462.28846153846155
bio19,false,97.4551282051282
