crop,use,elev,rcp,freq
COFFAR,N-fixing,2200,Current,0.43333333333333335
COFFAR,N-fixing,2300,RCP45,0.43333333333333335
COFFAR,N-fixing,2300,RCP85,0.43333333333333335
COFFAR,N-fixing,2300,Current,0.43333333333333335
COFFAR,N-fixing,2400,RCP45,0.4666666666666667
COFFAR,N-fixing,2400,RCP85,0.43333333333333335
COFFAR,N-fixing,2400,Current,0.4666666666666667
COFFAR,Timber,400,RCP45,0.7027027027027027
COFFAR,Timber,400,RCP85,0.6756756756756757
COFFAR,Timber,400,Current,0.8108108108108109
COFFAR,Timber,500,RCP45,0.6216216216216216
COFFAR,Timber,500,RCP85,0.5675675675675675
COFFAR,Timber,500,Current,0.7567567567567568
COFFAR,Timber,600,RCP45,0.5135135135135135
COFFAR,Timber,600,RCP85,0.4864864864864865
COFFAR,Timber,600,Current,0.7027027027027027
COFFAR,Timber,700,RCP45,0.43243243243243246
COFFAR,Timber,700,RCP85,0.3783783783783784
COFFAR,Timber,700,Current,0.6486486486486487
COFFAR,Timber,800,RCP45,0.43243243243243246
COFFAR,Timber,800,RCP85,0.3783783783783784
COFFAR,Timber,800,Current,0.6216216216216216
COFFAR,Timber,900,RCP45,0.4594594594594595
COFFAR,Timber,900,RCP85,0.40540540540540543
COFFAR,Timber,900,Current,0.6216216216216216
COFFAR,Timber,1000,RCP45,0.5135135135135135
COFFAR,Timber,1000,RCP85,0.43243243243243246
COFFAR,Timber,1000,Current,0.6216216216216216
COFFAR,Timber,1100,RCP45,0.5405405405405406
COFFAR,Timber,1100,RCP85,0.4864864864864865
COFFAR,Timber,1100,Current,0.6486486486486487
COFFAR,Timber,1200,RCP45,0.5405405405405406
COFFAR,Timber,1200,RCP85,0.4864864864864865
COFFAR,Timber,1200,Current,0.6486486486486487
COFFAR,Timber,1300,RCP45,0.5135135135135135
COFFAR,Timber,1300,RCP85,0.4864864864864865
COFFAR,Timber,1300,Current,0.6216216216216216
COFFAR,Timber,1400,RCP45,0.5135135135135135
COFFAR,Timber,1400,RCP85,0.4864864864864865
COFFAR,Timber,1400,Current,0.6216216216216216
COFFAR,Timber,1500,RCP45,0.4864864864864865
COFFAR,Timber,1500,RCP85,0.43243243243243246
COFFAR,Timber,1500,Current,0.5675675675675675
COFFAR,Timber,1600,RCP45,0.4594594594594595
COFFAR,Timber,1600,RCP85,0.43243243243243246
COFFAR,Timber,1600,Current,0.5675675675675675
COFFAR,Timber,1700,RCP45,0.40540540540540543
COFFAR,Timber,1700,RCP85,0.32432432432432434
COFFAR,Timber,1700,Current,0.4864864864864865
COFFAR,Timber,1800,RCP45,0.32432432432432434
COFFAR,Timber,1800,RCP85,0.2972972972972973
COFFAR,Timber,1800,Current,0.43243243243243246
COFFAR,Timber,1900,RCP45,0.32432432432432434
COFFAR,Timber,1900,RCP85,0.2972972972972973
COFFAR,Timber,1900,Current,0.40540540540540543
COFFAR,Timber,2000,RCP45,0.2972972972972973
COFFAR,Timber,2000,RCP85,0.24324324324324326
COFFAR,Timber,2000,Current,0.35135135135135137
COFFAR,Timber,2100,RCP45,0.21621621621621623
COFFAR,Timber,2100,RCP85,0.21621621621621623
COFFAR,Timber,2100,Current,0.2972972972972973
COFFAR,Timber,2200,RCP45,0.1891891891891892
COFFAR,Timber,2200,RCP85,0.1891891891891892
COFFAR,Timber,2200,Current,0.21621621621621623
COFFAR,Timber,2300,RCP45,0.1891891891891892
COFFAR,Timber,2300,RCP85,0.16216216216216217
COFFAR,Timber,2300,Current,0.24324324324324326
COFFAR,Timber,2400,RCP45,0.1891891891891892
COFFAR,Timber,2400,RCP85,0.1891891891891892
COFFAR,Timber,2400,Current,0.2702702702702703
THEOCA,Fruit,0,RCP45,0.7272727272727273
THEOCA,Fruit,0,RCP85,0.7272727272727273
THEOCA,Fruit,0,Current,0.7878787878787878
THEOCA,Fruit,100,RCP45,0.7575757575757576
THEOCA,Fruit,100,RCP85,0.7272727272727273
THEOCA,Fruit,100,Current,0.8181818181818182
THEOCA,Fruit,200,RCP45,0.7272727272727273
THEOCA,Fruit,200,RCP85,0.7272727272727273
THEOCA,Fruit,200,Current,0.8181818181818182
THEOCA,Fruit,300,RCP45,0.696969696969697
THEOCA,Fruit,300,RCP85,0.6666666666666666
THEOCA,Fruit,300,Current,0.8181818181818182
THEOCA,Fruit,400,RCP45,0.696969696969697
