acronym,system,never_suitable(0),remains_suitable(1),no_longer_suitable(-1),new_habitat(2),area_km2,remains_suitable_(1)_perc,no_longer_suitable(-1)_perc,new_habitat_(2)_per,net_change_perc,species,main_use,cover_inventory
ANACEX,THEOCA_85,13391,8581,1377,524,NA,86.17192207270537,13.828077927294638,5.262100823458526,-8.565977103836111,Anacardium excelsum,Timber,0.189198965
ANACOC,COFFAR_45,3632,8707,1132,1096,NA,88.49476572822441,11.505234271775587,11.139343429210285,-0.36589084256530136,Anacardium occidentale,Fruit,0.32970702
ANACOC,THEOCA_45,2419,19705,1311,438,NA,93.76189569851542,6.238104301484583,2.084126379901028,-4.1539779215835555,Anacardium occidentale,Fruit,0.32970702
ANACOC,COFFAR_85,3503,8154,1685,1225,NA,82.87427584104076,17.125724158959244,12.450452281735949,-4.675271877223295,Anacardium occidentale,Fruit,0.32970702
ANACOC,THEOCA_85,2317,19492,1524,540,NA,92.7483821850019,7.251617814998097,2.569470879330034,-4.682146935668063,Anacardium occidentale,Fruit,0.32970702
ANDIIN,COFFAR_45,6274,7099,433,761,NA,94.25119490175253,5.748805098247478,10.10355815188529,4.354753053637812,Andira inermis,Timber,0.392309619
ANDIIN,THEOCA_45,2438,19934,1172,329,NA,94.44707666066522,5.552923339334787,1.5587984459395432,-3.9941248933952433,Andira inermis,Timber,0.392309619
ANDIIN,COFFAR_85,6208,6966,566,827,NA,92.48539564524695,7.514604354753053,10.979819437068508,3.4652150823154555,Andira inermis,Timber,0.392309619
ANDIIN,THEOCA_85,2329,19918,1188,438,NA,94.37126883350706,5.6287311664929405,2.075239268454468,-3.5534918980384727,Andira inermis,Timber,0.392309619
ANNOCH,COFFAR_45,5320,4761,4485,1,NA,51.49253731343284,48.507462686567166,0.010815487778498811,-48.496647198788665,Annona cherimola,Fruit,0.026432208
ANNOCH,THEOCA_45,21257,767,1848,1,NA,29.33078393881453,70.66921606118547,0.03824091778202677,-70.63097514340343,Annona cherimola,Fruit,0.026432208
ANNOCH,COFFAR_85,5321,3864,5382,0,NA,41.7910447761194,58.2089552238806,0,-58.2089552238806,Annona cherimola,Fruit,0.026432208
ANNOCH,THEOCA_85,21258,518,2097,0,NA,19.808795411089868,80.19120458891014,0,-80.19120458891014,Annona cherimola,Fruit,0.026432208
ANNOMU,COFFAR_45,3794,8248,2092,433,NA,79.76789168278529,20.2321083172147,4.187620889748549,-16.04448742746615,Annona muricata,Fruit,0.15859325
ANNOMU,THEOCA_45,2201,19474,1175,1023,NA,94.3096517991186,5.690348200881399,4.954235071916316,-0.7361131289650826,Annona muricata,Fruit,0.15859325
ANNOMU,COFFAR_85,3692,7888,2452,535,NA,76.2862669245648,23.713733075435204,5.174081237911025,-18.53965183752418,Annona muricata,Fruit,0.15859325
